super_opeid,par_median,k_median,par_q1,par_top1pc,kq5_cond_parq1,ktop1pc_cond_parq1,mr_kq5_pq1,mr_ktop1_pq1,trend_parq1,trend_bottom40,count,name,region,state,fips,cz,czname,cfips,county,zip,tier,tier_name,type,iclevel,public,barrons,exp_instr_pc_2000,exp_instr_pc_2013,multi,hbcu,flagship,ipeds_enrollment_2013,ipeds_enrollment_2000,sticker_price_2013,sticker_price_2000,grad_rate_150_p_2013,grad_rate_150_p_2002,avgfacsal_2013,avgfacsal_2001,sat_avg_2013,sat_avg_2001,scorecard_netprice_2013,scorecard_median_earnings_2011,exp_instr_2012,exp_instr_2000,asian_or_pacific_share_fall_2000,black_share_fall_2000,hisp_share_fall_2000,alien_share_fall_2000,pct_arthuman_2000,pct_business_2000,pct_health_2000,pct_multidisci_2000,pct_publicsocial_2000,pct_stem_2000,pct_socialscience_2000,pct_tradepersonal_2000,recipients_00,awards_00,recipients_01,awards_01,recipients_02,awards_02,recipients_03,awards_03,recipients_04,awards_04,recipients_05,awards_05,recipients_06,awards_06,recipients_07,awards_07,recipients_08,awards_08,recipients_09,awards_09,recipients_10,awards_10,recipients_11,awards_11,recipients_12,awards_12,recipients_13,awards_13,recipients_14,awards_14,recipients_15,awards_15
266500,30900,53000,36.477882,0.11981525,44.843544,1.7666299,16.357975,0.64442915,-7.9987764,-5.7506108,207.6666667,Vaughn College Of Aeronautics And Technology,1,NY,36,19400,New York,36081,Queens,11369,8,Nonselective four-year private not-for-profit,2,1,0,9,7395.8291,5508.3994,0,0,0,1724,1297,21642,7596.37459,0.555555556,0.348837209,9139,41498.63793,0,0,17385,50000,9320875,8511076,0.13723978,0.19660756,0.34464148,0.057054743,0,0,0,0,0,56.493507,0,43.506493,767,1565883.03,772,1682884.11,824,2132572.88,905,2391328.17,923,2415131.88,965,2248236.14,693,1830619.76,653,1744690,674,1968060,739,2327303.91,962,4094218,1182,5362281,1227,4989995,1329,5390374,1246,5164952,1236,5264086
727300,42800,57600,27.632242,0.55920202,46.824234,2.5568271,12.938586,0.70650864,-9.1865492,-12.297223,1083,CUNY Bernard M. Baruch College,1,NY,36,19400,New York,36061,New York,10010,5,Selective public,1,1,1,3,3385.4727,6754.6748,0,0,0,14082,15698,6561,3350,0.449032994,0.447021581,8651,48525.34803,1235,1050,5148,54000,50939508.58,28764881.21,0.23454894,0.20506717,0.19239923,0.090518236,1.8911439,66.051659,0,1.6605166,0.36900368,20.894833,9.1328411,0,0,0,0,0,0,0,4932,14883698.35,0,0,0,0,0,0,0,0,5209,16753486,0,0,5564,23756684,6391,28892165,7037,30224964,7014,30386258,6950,30445365,7623,33609555
268800,35500,48500,32.546474,0.23351549,36.021557,1.4087214,11.723747,0.45848918,-9.8015804,-13.879366,582.3333333,City College Of New York - CUNY,1,NY,36,19400,New York,36061,New York,10031,5,Selective public,1,1,1,4,3095.1514,9341.7002,0,0,0,12501,11055,6389,3309,0.476538493,0.377360805,8257,65619.1167,1130,995,3537,44500,1697783214,776627968,0.13243409,0.37621093,0.3162477,0.060208462,8.2771893,0.86621749,2.1174207,12.512031,0,40.423485,35.803658,0,0,0,0,0,0,0,3967,11314481.67,0,0,0,0,0,0,0,0,5400,16984794,0,0,6534,27504175,6884,30842029,7302,31412452,7074,30790354,7014,30977262,7377,32777164
702200,32500,40700,36.707489,0,27.882967,0.18963498,10.235138,0.069610246,-5.7339659,-9.0723467,468.3333333,CUNY Lehman College,1,NY,36,19400,New York,36005,Bronx,10468,5,Selective public,1,1,1,5,3842.958,7139.103,0,0,0,9886,8768,6408,3320,0.449032994,0.447021581,7271,48525.34803,995,889,2668,41500,50939508.58,28764881.21,0.042473275,0.37330252,0.45333719,0.01502456,8.4421234,11.83638,18.276762,3.2201915,8.2680588,13.141863,36.814621,0,0,0,0,0,0,0,4204,11700371.71,0,0,0,0,0,0,0,0,5130,15212050,0,0,5958,22975756,6241,26438892,6243,25183064,5849,23140618,6032,24507196,6492,26836607
114000,36600,43000,33.116928,0.15598091,29.949804,0.083619982,9.9184551,0.027692368,-13.313572,-14.919846,1179.666667,"California State University, Los Angeles",4,CA,6,38300,Los Angeles,6037,Los Angeles,90032,5,Selective public,1,1,1,4,3301.5615,4761.478,0,0,0,19589,19593,6348,1724,0.356536503,0.318354912,8767,68806.60585,880,860,3207,44900,102912171,76012128,0.19961412,0.078658357,0.49421194,0.042297419,10.24,20.719999,5.5999999,5.1999998,12.639999,15.719999,29.879999,0,6745,14797742.43,6777,15956798.13,7406,19408263.13,7502,20079040.27,7614,20451692.25,7543,19791862.5,7739,20383036,7848,21163479,8339,23749454,8911,28237574.76,9411,37446091,10963,45834766,12459,51820618,12652,53375069,13753,59722098,15563,67299616
269300,41800,45200,27.158951,0.097911149,35.684139,0.30840749,9.6914377,0.083760239,-3.9944887,-8.185668,1228,CUNY John Jay College Of Criminal Justice,1,NY,36,19400,New York,36061,New York,10019,5,Selective public,1,1,1,4,3042.1917,6199.8784,0,0,0,13217,10612,6359,3309,0.449032994,0.447021581,7339,48525.34803,970,860,3470,43700,50939508.58,28764881.21,0.05084214,0.29992676,0.37734073,0.011612093,0,0,0,0,59.247646,4.937304,35.815048,0,0,0,0,0,0,0,6211,17621860.48,0,0,0,0,0,0,0,0,6873,20816434,0,0,7499,31431100,7804,33804258,7914,33562510,7834,33860397,8023,35069639,8093,35992869
216500,83300,112700,10.234574,0.77554816,91.293564,9.4175987,9.3435068,0.96385115,-1.5396656,-5.4528561,173.5,MCPHS University,1,MA,25,20500,Boston,25025,Suffolk,2115,8,Nonselective four-year private not-for-profit,2,1,0,9,5756.1772,9287.2422,0,0,0,3897,1877,29500,17343,0.617449664,0.975,8066,57744.87097,1080,1176,28944,116400,48640256,14177059,0.35739315,0.056061666,0.011212333,0.043447793,0,0,98.319328,0,0,1.6806723,0,0,476,1008202.4,519,1274389,403,1140163,407,1205928,457,1333476,444,1280530,482,1401347,502,1450189,548,1684716,549,1917334,709,3201802,864,3922397,980,4235379,1079,4644587,1126,5081566,1182,5252288
279100,68600,60700,15.173292,1.2134688,55.575592,2.761539,8.4326468,0.41901636,-5.950985,-13.538049,1353.333333,Pace University,1,NY,36,19400,New York,36061,New York,10038,6,Selective private,2,1,0,4,10436.609,9327.0703,0,0,0,8289,7911,39697,16230,0.514638907,0.51945245,11627,79690.67366,1050,1020,19651,58400,114213297,82767520,0.15186794,0.1397046,0.12250217,0.060469158,4.8423424,54.842342,4.8423424,3.3783784,2.0270271,14.189189,15.878378,0,3070,6651497,3039,7148307,3161,8386102,3130,8778264,3114,8740374,2632,5902359.5,2353,6483503.5,2042,5550291,2039,5980856,1993,6851785,2485,10370256,2967,12765167,3022,12905640,3133,13357579,3001,13235862,2809,12196303
283800,73600,60100,16.416624,0.44201165,51.245296,1.9444995,8.4127474,0.31922117,-6.716249,-10.386624,2070.666667,State University Of New York At Stony Brook,1,NY,36,19400,New York,36103,Suffolk,11794,3,Highly selective public,1,1,1,2,9123.7305,15185.598,0,0,0,15992,19924,8430,4253,0.659296847,0.536723164,10346,75403.74522,1250,1144,8585,55500,356612037,184045536,0.22840764,0.090819947,0.072565436,0.035905559,11.057268,6.475771,12.422908,5.506608,0.79295152,28.678413,35.066078,0,0,0,0,0,0,0,5490,16587680.62,0,0,0,0,0,0,0,0,5239,17387612,0,0,5715,26003704,6074,30789671,6102,26749861,5960,26588135,5710,25717855,5921,27122530
269600,33500,37000,35.256516,0.10819948,23.638399,0.19894305,8.3340759,0.070140384,-7.0691638,-9.1352043,1488.333333,New York City College Of Technology Of The City University Of New,1,NY,36,19400,New York,36047,Kings,11201,5,Selective public,1,1,1,5,3347.8982,5951.1328,0,0,0,16860,11028,6369,3319,0.449032994,0.447021581,6700,48525.34803,0,0,4716,37700,50939508.58,28764881.21,0.11534277,0.47515416,0.26441786,0.022669569,3.8255546,26.396328,14.766642,5.7383323,10.328998,32.287682,1.6832441,4.9732213,0,0,0,0,0,0,7265,18825970.84,0,0,0,0,0,0,0,0,7833,21362106,0,0,9138,33733020,10171,39525267,10574,41051970,10560,41563816,10388,41570672,10282,42280948
2166200,56000,55000,20.257362,0.34329841,40.163651,0.14645728,8.136097,0.029668383,-10.871756,-16.802845,92,ITI Technical College,3,LA,22,3500,Baton Rouge,22033,East Baton Rouge,70817,11,Two-year for-profit,3,2,0,999,4567.5166,4566.9126,0,0,0,630,320,10575,7596.37459,0.81512605,0.99382716,3693,38845,0,0,17832,41700,2640371,1316263,0.03125,0.19374999,0.00625,0,0,0,0,0,0,61.965813,0,38.034187,0,0,228,461771,272,615331,303,757941,302,749203,304,741165,287,666456,339,715252,321,939944,338,1012944,378,1645114,447,2133038,461,1717862,501,1880377,535,2108282,593,2325953
965100,35400,42800,31.893793,0.46419528,25.357273,0.006767011,8.0873957,0.002158257,-6.1688261,-6.8036261,258,Texas A&M International University,3,TX,48,31503,Laredo,48479,Webb,78041,7,Nonselective four-year public,1,1,1,999,2631.6909,3503.405,0,0,0,6585,3038,6353,2475,0.429752066,0.386075949,7689,52437,915,0,4728,45200,23397515,10072407,0.004418913,0.001767565,0.9297393,0.019443218,9.485095,23.577236,3.7940381,11.924119,7.3170733,6.7750678,37.127373,0,1266,2471275,1322,2733346.95,1652,3832819.63,1959,5084764.25,2102,5313442.96,2223,5618265.68,2233,5838314.26,2417,6691582,2544,7694969,2773,9248287.92,3233,13379231,3822,18322176,3920,16666273,3893,16037056,3941,16564076,4081,17721686
268700,52200,44300,23.247004,0.78585011,34.696301,0.71291935,8.0658493,0.16573238,-2.6277237,-3.8919907,1009.666667,CUNY Brooklyn College,1,NY,36,19400,New York,36047,Kings,11210,5,Selective public,1,1,1,4,3783.0244,6696.8579,0,0,0,13596,15039,6536,3393,0.449032994,0.447021581,7529,48525.34803,1085,990,3923,44500,50939508.58,28764881.21,0.090449773,0.28749752,0.10441846,0.0380424,10.530087,18.982807,6.4469914,1.0028653,0,15.830945,47.206306,0,0,0,0,0,0,0,5119,14140212.84,0,0,0,0,0,0,0,0,6145,18544181,0,0,6561,27585992,7055,31437238,7484,31348837,7158,30431309,7409,31930255,7896,34676462
1103100,29700,31300,40.302402,0.029217871,19.843748,0.1431327,7.9975071,0.057685915,-1.35367,-2.8605595,562,Technical Career Institutes,1,NY,36,19400,New York,36061,New York,10001,11,Two-year for-profit,3,2,0,999,2450.8508,4798.6172,0,0,0,3020,4010,13540,7200,0.240627724,0.2858661,5582,39292,0,0,15351,33400,19131526,11120298,0.086533666,0.3511222,0.3957606,0.010723192,0,32.281807,0,0,0,67.718193,0,0,0,0,5031,10469550,5153,12293186,4655,12229950,4294,11241290,4147,10656588,4109,10554346,4182,10507062,4525,11740147,5766,16837423.5,5458,22043022,5575,26006205,5664,21096121,4549,17414063,3984,15580278,3436,13435443
359900,31700,39300,38.702602,0.29801774,19.76301,0.64955068,7.6487989,0.25139302,-11.182245,-5.3661623,1723.666667,University Of Texas - Pan American,3,TX,48,31600,Brownsville,48215,Hidalgo,78539,5,Selective public,1,1,1,4,2140.8972,4907.688,0,0,0,17230,12759,5173,1985,0.449032994,0.447021581,7552,48525.34803,960,0,1117,40500,50939508.58,28764881.21,0.009386733,0.005185053,0.84775615,0.017879492,12.616488,16.344086,10.250896,28.387096,7.5268817,14.408603,10.46595,0,6257,13897386.46,6435,15433304.41,6923,18911981.19,7685,21691249.63,8427,24379351.76,8960,25452608.14,8673,25296117.84,9191,27106451,9146,29180165,9959,33506087.81,10925,51969917,11421,55661997,11566,49495081,11210,47413434,11802,51130054,12536,54179836
